Week,Member,Throughput,Reworked Annotations,Rework Rate,Mean IoU,Krippendorff's Alpha
1,Amir,1089,19,0.0177,0.9788,0.9450
1,Michael,1086,16,0.0146,0.9807,0.9538
1,Sarah,1090,24,0.0221,0.9798,0.9476
1,Wang,1100,22,0.0201,0.9830,0.9652
2,Amir,1046,27,0.0261,0.9811,0.9428
2,Michael,1031,23,0.0226,0.9796,0.9383
2,Sarah,1004,20,0.0197,0.9776,0.9417
2,Wang,1063,22,0.0207,0.9872,0.9574
3,Amir,1120,27,0.0245,0.9826,0.9557
3,Michael,1093,28,0.0258,0.9840,0.9600
3,Sarah,1067,27,0.0250,0.9880,0.9512
3,Wang,1052,27,0.0257,0.9763,0.9448
4,Amir,1034,22,0.0214,0.9814,0.9552
4,Michael,1006,20,0.0195,0.9802,0.9542
4,Sarah,1088,26,0.0239,0.9681,0.9488
4,Wang,1087,16,0.0147,0.9690,0.9435
5,Amir,1074,28,0.0261,0.9828,0.9427
5,Michael,1101,49,0.0448,0.9793,0.9600
5,Sarah,1078,41,0.0378,0.9755,0.9516
5,Wang,1024,28,0.0271,0.9719,0.9345
6,Amir,1102,28,0.0259,0.9740,0.9591
6,Michael,1123,34,0.0301,0.9735,0.9557
6,Sarah,1073,23,0.0210,0.9808,0.9556
6,Wang,1148,30,0.0257,0.9754,0.9339
7,Amir,1116,36,0.0323,0.9800,0.9477
7,Michael,1036,28,0.0271,0.9711,0.9483
7,Sarah,1115,26,0.0237,0.9805,0.9335
7,Wang,1048,30,0.0288,0.9678,0.9512
8,Amir,1109,31,0.0281,0.9733,0.9455
8,Michael,1191,24,0.0204,0.9751,0.9307
8,Sarah,1104,45,0.0407,0.9668,0.9411
8,Wang,1045,30,0.0282,0.9687,0.9653
9,Alex,612,124,0.2020,0.8654,0.7723
9,Amir,864,39,0.0456,0.9174,0.9024
9,Michael,841,41,0.0493,0.9216,0.8729
9,Sarah,864,32,0.0374,0.9140,0.8836
9,Wang,859,29,0.0332,0.9251,0.8716
10,Alex,716,140,0.1959,0.8566,0.7595
10,Amir,871,28,0.0318,0.9369,0.9054
10,Michael,883,40,0.0449,0.9279,0.9000
10,Sarah,869,38,0.0434,0.9270,0.9126
10,Wang,923,25,0.0267,0.9250,0.8998
11,Alex,621,132,0.2133,0.8722,0.7529
